"ID" "(Intercept)_forced" "(Intercept)_free" "R_forced" "R_free" "avgR_forced" "avgR_free" "avgRmax_forced" "avgRmax_free"
53 -3.99675189875783 -5.06438448440643 -3.08214265791462 -3.49846917732152 0.158236695918348 -0.252732632845699 0.799910302530011 1.06465334066238
55 -7.02436204480726 -7.54185020344786 -6.00228020138777 -6.51698744241198 -0.0386503842227416 -0.204182447631595 1.01602092966526 1.07226035024673
56 -1.83563178960914 -3.13635267011775 -2.50005888664917 -4.21726681353014 -0.122575110769725 0.190206013382874 0.469675382436148 0.348220197925764
57 -4.08033440817258 -3.69288607379123 -3.58394931775052 -8.20838003343183 -1.0850225069753 4.95660830667638 -0.189932940803279 0.762745871883878
59 -10.8459828392232 -7.48610309060962 -12.5580752009119 -16.6154881742646 -1.35799929586581 8.50312376059809 -0.607864071317904 1.24697577225831
60 -1.37691569927214 -2.10496812854051 -2.89839133393529 -4.28873461418232 -0.192149107403573 2.4287071157087 -0.473792099651255 0.692519068377708
62 -1.17637175772037 -1.09410512216679 -3.12068453224618 -2.53327593796686 0.349978645093309 1.20232104872292 0.711640606854578 0.908761388289956
63 -3.24741176445538 -1.21506433343519 -3.02532948279797 -3.26536972688943 -0.872339047197094 0.12216487276788 0.501263142623444 -0.839551882875397
64 -3.45627395246353 -3.83630198179418 -3.73241954367741 -3.98910756972001 0.710068439640693 -1.15116888214196 1.59953815182227 0.209327630341635
65 -2.63706943606198 -5.19670275036882 -2.55433268387557 -4.79537382433037 1.38297333779061 0.484066081950906 -0.234478012468755 0.326345437991709
66 -3.80582344499713 -4.00559558064286 -2.29981427413372 -1.23004928641009 -0.278715030505724 -1.65102304673124 -0.559148282172541 1.0321122748269
67 -1.80684505548516 -2.14450063721953 -1.56997370752371 -3.80258099706265 -0.0753490629614915 -1.165106900619 1.57805741685653 -0.167989319833386
69 -4.96826119532616 -3.3761189121744 -2.31608380988555 0.712407166764835 -1.52663420282236 -2.9058020111367 -0.370689836200301 0.189089861593505
